date,best_mc_wealth,best_mc_daily_return
2025-01-03 05:00:00,1.0072669045579088,0.007266904557908824
2025-01-06 05:00:00,1.0079023286186464,0.0006308398080611039
2025-01-07 05:00:00,1.0026687621089287,-0.005192533404392795
2025-01-08 05:00:00,1.0007622831405159,-0.0019014045719376884
2025-01-10 05:00:00,0.9981006602916931,-0.0026595954840247403
2025-01-13 05:00:00,0.9999623416199117,0.0018652240222690403
2025-01-14 05:00:00,1.0033904686627897,0.003428256145450779
2025-01-15 05:00:00,1.0200976775603234,0.01665075503437801
2025-01-16 05:00:00,1.02168010884004,0.001551254663672301
2025-01-17 05:00:00,1.0269660034849204,0.005173727665973296
2025-01-21 05:00:00,1.0346667719632514,0.007498562223285934
2025-01-22 05:00:00,1.0344834514500658,-0.00017717831301163273
2025-01-23 05:00:00,1.0309296952052334,-0.003435295402600331
2025-01-24 05:00:00,1.034601684450034,0.0035618231406843674
2025-01-27 05:00:00,1.0279499289340661,-0.0064292912102726415
2025-01-28 05:00:00,1.0328371135184393,0.004754302176411404
2025-01-29 05:00:00,1.0283121677497384,-0.004381083628265747
2025-01-30 05:00:00,1.0359944769561733,0.007470794810535029
2025-01-31 05:00:00,1.030837476626046,-0.004977826083860012
2025-02-03 05:00:00,1.0260186123530675,-0.004674708072072508
2025-02-04 05:00:00,1.0320551286040311,0.0058834373746101815
2025-02-05 05:00:00,1.0373324335887946,0.005113394467504369
2025-02-06 05:00:00,1.0379734479079759,0.0006179449310801102
2025-02-07 05:00:00,1.0317848279090753,-0.00596221416971093
2025-02-10 05:00:00,1.038990510389126,0.006983706568600333
2025-02-11 05:00:00,1.039433858844596,0.000426710784205329
2025-02-12 05:00:00,1.0364554234388503,-0.0028654400473892717
2025-02-13 05:00:00,1.0468493944823187,0.01002838212663526
2025-02-14 05:00:00,1.04774590100187,0.0008563853829179044
2025-02-18 05:00:00,1.0512870559566863,0.003379784116960169
2025-02-19 05:00:00,1.0501818502662643,-0.0010512882130143315
2025-02-20 05:00:00,1.0523905343056421,0.002103144363823956
2025-02-21 05:00:00,1.0425286959409472,-0.009370892309670737
2025-02-24 05:00:00,1.0421379492153604,-0.0003748066860011555
2025-02-25 05:00:00,1.042611682294187,0.0004545780903415066
2025-02-26 05:00:00,1.0437442305829856,0.0010862608850750622
2025-02-27 05:00:00,1.0356979405379467,-0.007709063014934771
2025-02-28 05:00:00,1.0423018551102217,0.0063762940079275295
2025-03-03 05:00:00,1.0399309110645882,-0.002274719203471726
2025-03-04 05:00:00,1.0357230869881195,-0.004046253488283353
2025-03-05 05:00:00,1.043885547629374,0.007880929510793017
2025-03-06 05:00:00,1.0355804826687602,-0.007955915262429227
2025-03-07 05:00:00,1.0398440384750873,0.004117068521163758
2025-03-10 04:00:00,1.0219565363652297,-0.0172021009382227
2025-03-11 04:00:00,1.0193194708209048,-0.002580408706718725
2025-03-12 04:00:00,1.02270281597831,0.0033192195913619377
2025-03-13 04:00:00,1.0170042917292803,-0.005572023622110057
2025-03-14 04:00:00,1.0325217853048108,0.015258041388542197
2025-03-17 04:00:00,1.0398541252091738,0.007101390022679799
2025-03-18 04:00:00,1.0372937606387498,-0.0024622343734116347
2025-03-19 04:00:00,1.0459864286938239,0.008380141079534902
2025-03-20 04:00:00,1.0480564748277772,0.0019790372773176045
2025-03-21 04:00:00,1.044942566653925,-0.0029711263167988317
2025-03-24 04:00:00,1.0538424563099509,0.008517108920660318
2025-03-25 04:00:00,1.0522462396549888,-0.001514663454109866
2025-03-26 04:00:00,1.0479435318768031,-0.004089069284387731
2025-03-27 04:00:00,1.048521103686052,0.0005511478354320769
2025-03-28 04:00:00,1.0435952417318992,-0.004697913982690565
2025-03-31 04:00:00,1.0491888643373453,0.005359954110334252
2025-04-01 04:00:00,1.0510488862203502,0.0017728189330142566
2025-04-02 04:00:00,1.056180610434208,0.004882479094109251
2025-04-03 04:00:00,1.0225515710179156,-0.03184023554689862
2025-04-04 04:00:00,0.9966497157326842,-0.02533061022970893
2025-04-07 04:00:00,0.9843280990118821,-0.012363036407173303
2025-04-08 04:00:00,0.9712180094269147,-0.013318820826234574
2025-04-09 04:00:00,1.0394932263786818,0.0702985491301321
2025-04-10 04:00:00,1.021262897089923,-0.01753770859312711
2025-04-11 04:00:00,1.038482638068593,0.01686122253901268
2025-04-14 04:00:00,1.044261823217159,0.005565028183152316
2025-04-15 04:00:00,1.0465106300172278,0.0021534894315496282
2025-04-16 04:00:00,1.0487365788948728,0.0021270198446131016
2025-04-17 04:00:00,1.054617594860551,0.005607715115529941
2025-04-21 04:00:00,1.046021702172734,-0.008150719966845858
2025-04-22 04:00:00,1.061300102282455,0.014606198014807588
2025-04-23 04:00:00,1.0627290047134068,0.001346369823086458
2025-04-24 04:00:00,1.0769024573670347,0.013336845602939176
2025-04-25 04:00:00,1.0819114218294197,0.004651270343120548
2025-04-28 04:00:00,1.08542650907677,0.0032489602904890807
2025-04-29 04:00:00,1.0866852139814052,0.0011596408362143998
2025-04-30 04:00:00,1.0821348303397538,-0.00418739813803078
2025-05-01 04:00:00,1.0854977619110806,0.0031076825891195358
2025-05-02 04:00:00,1.0935275534634652,0.007397335889709995
2025-05-05 04:00:00,1.095777808652913,0.002057794686855988
2025-05-06 04:00:00,1.100079696098812,0.003925875676554773
2025-05-07 04:00:00,1.0971698851846288,-0.002645091009771646
2025-05-08 04:00:00,1.0977121061190354,0.0004941996145977423
2025-05-09 04:00:00,1.1028521913892828,0.004682544030984833
2025-05-12 04:00:00,1.1190063087839586,0.014647581535224824
2025-05-13 04:00:00,1.123573369341361,0.004081353716732387
2025-05-14 04:00:00,1.1210326003386166,-0.0022613289635315635
2025-05-15 04:00:00,1.128766101672663,0.006898551685035947
2025-05-16 04:00:00,1.1328688912802696,0.0036347562187835037
2025-05-19 04:00:00,1.1338608435236583,0.0008756108063552116
2025-05-20 04:00:00,1.1355439790965092,0.0014844286955180651
2025-05-21 04:00:00,1.1204405359040428,-0.013300623727918778
2025-05-22 04:00:00,1.1198441565106882,-0.0005322722395734993
2025-05-23 04:00:00,1.1235580449661602,0.0033164333035804947
2025-05-27 04:00:00,1.134863210240865,0.01006193255911873
2025-05-28 04:00:00,1.1302391253587714,-0.004074574662713899
2025-05-29 04:00:00,1.1357279409083307,0.0048563312191276685
2025-05-30 04:00:00,1.134915491131594,-0.0007153559822496345
2025-06-02 04:00:00,1.148280616063204,0.011776317299435115
2025-06-03 04:00:00,1.1478564269544194,-0.0003694124091712835
2025-06-04 04:00:00,1.1535848287273645,0.004990521147443589
2025-06-05 04:00:00,1.151318987035051,-0.001964174316346506
2025-06-06 04:00:00,1.158560598538814,0.006289839380146021
2025-06-09 04:00:00,1.1636484278578307,0.004391509020273523
2025-06-10 04:00:00,1.1673754099637357,0.003202842041187519
2025-06-11 04:00:00,1.1717064887980675,0.003710099422486731
2025-06-12 04:00:00,1.1785396786165725,0.005831827239870174
2025-06-13 04:00:00,1.1874235504475386,0.00753803371422698
2025-06-16 04:00:00,1.187848209499232,0.0003576306462284068
2025-06-17 04:00:00,1.1840371594889647,-0.0032083644861272504
2025-06-18 04:00:00,1.1842391592519226,0.0001706025535930276
2025-06-20 04:00:00,1.1818900090166329,-0.0019836789021346604
2025-06-23 04:00:00,1.1787762776932755,-0.0026345356163454837
2025-06-24 04:00:00,1.1924580252813974,0.01160673814618626
2025-06-25 04:00:00,1.1889465120903233,-0.00294476880244534
2025-06-26 04:00:00,1.1967685170674789,0.006578937654145233
2025-06-27 04:00:00,1.1928796167784113,-0.003249500829614874
2025-06-30 04:00:00,1.1988484013329348,0.00500367721148882
2025-07-01 04:00:00,1.2001649368294447,0.0010981667865980174
